rank,prev_rank,name,league,off,def,spi
311,338,St Gallen,Swiss Raiffeisen Super League,1.51,1.75,41.19
312,325,Heracles,Dutch Eredivisie,1.57,1.81,41.09
313,314,Kashiwa Reysol,Japanese J League,1.44,1.68,40.89
314,316,Godoy Cruz,Argentina Primera Division,1.08,1.26,40.82
315,315,Colon Santa Fe,Argentina Primera Division,0.97,1.13,40.74
316,333,Los Angeles Galaxy,Major League Soccer,1.54,1.81,40.61
317,359,PEC Zwolle,Dutch Eredivisie,1.23,1.45,40.61
318,312,Huracán,Argentina Primera Division,1.13,1.34,40.48
319,323,Aldosivi,Argentina Primera Division,0.97,1.16,40.26
320,321,Erzurumspor,Turkish Turkcell Super Lig,1.14,1.37,40.17
321,322,Waasland-Beveren,Belgian Jupiler League,1.42,1.7,40.16
322,340,Tondela,Portuguese Liga,1.17,1.41,40.13
323,310,Holstein Kiel,German 2. Bundesliga,1.44,1.72,40.01
324,328,Deportivo La Coruña,Spanish Segunda Division,0.97,1.17,39.92
325,327,Akhisar Belediye,Turkish Turkcell Super Lig,1.21,1.46,39.79
326,329,Rosario Central,Argentina Primera Division,0.97,1.18,39.76
327,348,Hibernian,Scottish Premiership,1.24,1.5,39.72
328,313,Barnsley,English League One,1.0,1.22,39.7
329,360,Hebei China Fortune FC,Chinese Super League,1.29,1.57,39.68
330,308,AaB,Danish SAS-Ligaen,1.31,1.59,39.65
331,331,Patronato,Argentina Primera Division,1.11,1.36,39.6
332,341,Atlas,Mexican Primera Division Torneo Clausura,1.15,1.4,39.54
333,320,Asteras Tripolis,Greek Super League,0.87,1.07,39.49
334,297,Rotherham United,English League Championship,1.26,1.55,39.47
335,318,Melbourne City,Australian A-League,1.11,1.37,39.42
336,335,C.D. Nacional,Portuguese Liga,1.24,1.53,39.25
337,351,FC Tokyo,Japanese J League,1.0,1.24,39.21
338,365,Cerezo Osaka,Japanese J League,1.03,1.28,39.16
339,346,San Martin San Juan,Argentina Primera Division,1.07,1.34,39.03
340,356,Melbourne Victory,Australian A-League,1.35,1.67,38.97
341,336,Gamba Osaka,Japanese J League,1.38,1.71,38.93
342,352,Troyes,French Ligue 2,0.98,1.23,38.86
343,309,Panetolikos,Greek Super League,1.17,1.46,38.77
344,349,Antalyaspor,Turkish Turkcell Super Lig,1.2,1.5,38.74
345,350,Cadiz,Spanish Segunda Division,0.97,1.23,38.74
346,317,Montreal Impact,Major League Soccer,1.21,1.52,38.72
347,337,Mamelodi Sundowns,South African ABSA Premier League,0.94,1.2,38.69
348,326,Albacete,Spanish Segunda Division,0.91,1.15,38.68
349,400,Kilmarnock,Scottish Premiership,1.05,1.33,38.62
350,332,Portland Timbers,Major League Soccer,1.37,1.71,38.57
351,347,San Martin de Tucuman,Argentina Primera Division,1.15,1.45,38.57
352,344,Djurgardens IF,Swedish Allsvenskan,1.15,1.45,38.55
353,357,Shanghai Greenland,Chinese Super League,1.25,1.58,38.39
354,343,Belgrano Cordoba,Argentina Primera Division,0.91,1.17,38.35
355,368,Larissa,Greek Super League,0.92,1.19,38.29
356,342,SK Brann,Norwegian Tippeligaen,1.28,1.63,38.22
357,354,Morelia,Mexican Primera Division Torneo Clausura,1.18,1.51,38.21
358,408,Paris FC,French Ligue 2,0.74,0.98,37.97
359,330,Mallorca,Spanish Segunda Division,1.07,1.39,37.87
360,353,Tianjin Quanujian,Chinese Super League,1.19,1.54,37.78
361,339,Granada,Spanish Segunda Division,0.81,1.07,37.74
362,361,Gimnasia La Plata,Argentina Primera Division,0.95,1.25,37.68
363,355,Brest,French Ligue 2,1.13,1.48,37.53
364,364,F91 Dudelange,UEFA Europa League,1.35,1.76,37.32
365,378,SC Paderborn,German 2. Bundesliga,1.32,1.72,37.31
366,363,Brescia,Italy Serie B,1.26,1.65,37.16
367,381,Houston Dynamo,Major League Soccer,1.3,1.71,37.07
368,380,FC Xanthi,Greek Super League,0.67,0.92,37.04
369,369,Maritimo,Portuguese Liga,1.0,1.34,37.02
370,362,Newcastle Jets,Australian A-League,1.32,1.75,36.89
371,358,Aberdeen,Scottish Premiership,1.22,1.63,36.82
372,375,Tianjin Teda,Chinese Super League,1.21,1.61,36.82
373,376,Sunderland,English League One,1.08,1.46,36.75
374,370,Sarpsborg,Norwegian Tippeligaen,1.16,1.55,36.74
375,371,Arminia Bielefeld,German 2. Bundesliga,1.17,1.57,36.66
376,386,Querétaro,Mexican Primera Division Torneo Clausura,1.03,1.4,36.62
377,388,ADO Den Haag,Dutch Eredivisie,1.37,1.83,36.57
378,366,Yokohama F. Marinos,Japanese J League,1.26,1.69,36.51
379,367,Guizhou Renhe,Chinese Super League,1.01,1.38,36.43
380,391,Sanfrecce Hiroshima,Japanese J League,0.94,1.3,36.4
381,390,Sporting Gijón,Spanish Segunda Division,0.93,1.29,36.37
382,405,Neuchatel Xamax,Swiss Raiffeisen Super League,1.32,1.78,36.35
383,374,Málaga,Spanish Segunda Division,0.79,1.12,36.14
384,383,Portsmouth,English League One,1.21,1.65,36.13
385,345,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.11,1.53,36.13
386,416,St. Pölten,Austrian T-Mobile Bundesliga,1.08,1.49,36.08
387,384,Clermont Foot,French Ligue 2,0.84,1.18,35.94
388,387,FC Spartak Trnava,UEFA Europa League,0.9,1.27,35.94
389,397,Reading,English League Championship,1.06,1.47,35.83
390,377,Orlando Pirates,South African ABSA Premier League,0.98,1.38,35.77
391,423,Randers FC,Danish SAS-Ligaen,0.96,1.38,35.37
392,394,New England Revolution,Major League Soccer,1.16,1.63,35.34
393,393,Eupen,Belgian Jupiler League,1.19,1.68,35.25
394,401,Lamia,Greek Super League,0.78,1.16,35.07
395,396,Henan Jianye,Chinese Super League,1.06,1.52,34.95
396,414,GIF Sundsvall,Swedish Allsvenskan,1.12,1.6,34.95
397,398,Ankaragucu,Turkish Turkcell Super Lig,1.07,1.53,34.94
398,372,Real Salt Lake,Major League Soccer,1.22,1.72,34.92
399,399,Black Aces,South African ABSA Premier League,1.13,1.62,34.85
400,382,Jahn Regensburg,German 2. Bundesliga,1.24,1.76,34.83
401,395,Chongqing Lifan,Chinese Super League,1.08,1.57,34.73
402,453,Giannina,Greek Super League,0.76,1.15,34.5
403,379,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.33,1.9,34.37
404,403,Ipswich Town,English League Championship,0.98,1.45,34.35
405,392,AGF Aarhus,Danish SAS-Ligaen,1.12,1.63,34.24
406,411,KV Oostende,Belgian Jupiler League,1.02,1.51,34.18
407,433,Bolton,English League Championship,1.04,1.54,34.06
